FOODID;FOODNAME_y;CA;CAROTENS;FE;FIBC;FOL;JODI;K;MG;NIAEQ;P;RIBF;SE;THIA;VITA;VITB12;VITC;VITD;VITE;VITK;VITPYRID;ZN;Calsium;Carotenoids;Iron;Fiber;Folate;Iodine;Kalium;Magnesium;Niacin;Phosphorus;Riboflavin;Selenium;Thiamin;Vitamin A;Vitamin B12;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Vitamin B6;Zinc
11048;LEMON;33;15,7;0,4;2,8;11;1;160;11;0,3;20;0,02;0,4;0,05;0,28;0;51;0;0,2;0,2;0,06;0,1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
11049;BANANA;6,2;29,7;1;1,8;12,54;1;358,4;31,32;0,917;24,9;0,06;0,32;0,04;1,68;0;10;0;0,21;0,5;0,5;0,19;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
11050;KIWI FRUIT;32,17;226,8;1;2,7;42;0;289,7;13,46;0,601;26,9;0,05;0,5;0,006;3,68;0;67;0;0,043;34,3;0,12;0,09;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
11051;PEACH/NECTARINE;8;151,4;0,5;2,1;3;1;200;11;0,684;20;0,06;0,4;0,02;9,27;0;6,6;0;0,96;1,5;0,03;0,1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11052;CHERRY;18;69;0,3;1,5;5;0,2;174,5;8,5;0,317;16;0,07;0,1;0,05;5,73;0;10;0;0,07;1,5;0,04;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11053;PLUM;16;677,3;0,3;1,7;3;1;220;10;0,47;20;0,12;0,11;0,02;36,02;0;5;0;0,85;12;0,04;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11054;APRICOT;31;1037;0,43;1,9;5;1;160;8,8;0,65;11;0,05;1;0,04;66,9;0;10;0;0,96;3,3;0,05;0,33;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11055;WATERMELON;7;4861,8;0,5;1,1;2;1;100;8;0,233;10;0,02;0,1;0,03;23,44;0;11;0;0,05;0,2;0,14;0,1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11056;PINEAPPLE;12;60;0,2;1,4;5;1,4;174;14;0,589;8;0,02;0,6;0,08;4,98;0;30,6;0;0,02;0,2;0,09;0,082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11057;AVOCADO;15;406,5;0,5;6,7;11;1;400;29;1,518;31;0,16;0,4;0,07;5,16;0;10,2;0;2,07;20;0,42;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
11061;APPLE;4;91,8;0,08;1,8;2,89;1,15;120;4;0,15;9;0,015;0,05;0,016;3,69;0;4;0;0,24;2;0,05;0,016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11062;PEAR;11;131,8;0,2;3,9;2;1;150;7;0,35;13;0,03;1;0,01;1,64;0;6;0;0,06;2;0,02;0,1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11074;SPROUT, ALFALFA;32;96;0,96;3;36;0;79;27;1,082;70;0,126;1;0,08;7,97;0;8,2;0;0,02;30,5;0,03;0,92;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11086;CASHEW NUT;45;22;6;3,5;69,2;10;565;260;5,993;490;0,2;11;0,2;0;0;0;0;0,9;7;0,4;5,6;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1
11134;BASIL;250;8838;5,5;1,6;64;0;300;11;1,751;37;0,31;0,4;0,08;262,69;0;26;0;0,8;414,8;0,13;0,7;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
11135;BAMBOO SHOOTS, CANNED;13;8;0,4;1,4;36;0;530;3;0,5;39;0,06;1;0,09;0,66;0;0;0;0,63;0;0,14;1,1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11203;HONEYDEW MELON;9;57;0,1;0,8;2;0;210;10;0,35;16;0,01;0;0,03;2,49;0;9;0;0,02;0,4;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11212;SUNFLOWER SEED;91,6;30;5,72;6;60;0;898;419;10,3;947;0,25;15,42;2,3;2,49;0;0;0;40;2,7;0,77;7,01;0;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1
11589;HORSERADISH;120;0;2;7,5;40,8;0;580;36;1,2;70;0,066;0;0,082;0;0;166;0;0;0;0,18;1,4;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
11689;ASPARAGUS;27;315;0,7;3,5;175;0;260;13;1,25;72;0,06;0,2;0,16;41,42;0;12;0;1,13;40;0,06;0,7;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11734;SHIITAKE MUSHROOM;0,4;0;0,28;3,3;25;3;224;13;2,6;73;0,15;0,33;0,05;0;0,07;2,1;0,1;0;0;0,293;0,77;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11735;OYSTER MUSHROOM;0,1;0;0,43;2,4;51;3;298;16;5,2;110;0,2;1,2;0,07;0;0,05;1,6;0,02;0;0;0,11;0,66;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
28928;GRAPE LEAVES;390;0;2,3;4,5;78;0;45;41;0,5;35;0,24;0,9;0,08;136,95;0;15;0;1,79;97,3;0,14;0,3;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
28937;DATE;51,33;1152,8;1,479;7,16;13,05;0;687,3;41,76;1,508;64,4;0,087;0,396;0,0435;68,739;0;4,35;0;2,486;30,786;0,23;2,001;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28938;OLIVE, GREEN/BLACK;61;807,8;1;4,4;0;0;91;22;0,434;17;0;1,125;0;23,63;0;0;0;1,65;1,4;0,01;0,22;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28962;SWEET CORN, CORN ON THE COB;1,2;509,5;0,312;2,22;24,6;0;162;22,2;1,591;53,4;0,048;0,24;0,09;4,17;0;7,2;0;0,048;0,18;0,13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29217;RUFOUS MILKCAP;2,8;0;1;1,5;35;1;290;10;6,051;55;0,42;1,2;0,1;0;0,06;1,3;5,5;0;0,3;0,18;0,62;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0
29410;PORCINI;1,4;0;0,77;3;29,5;1;270;6,9;8,407;47;0,353;11;0,138;0;0,06;0,25;2,62;0;0,3;0,18;0,9;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0
30104;TAPIOCA;20;0;1,58;0,9;4;0;11;1;0,05;7;0;0,8;0,004;0;0;0;0;0;0;0,008;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
