FOODID,FOODNAME_y,FOODTYPE,PROCESS,EDPORT,IGCLASS,IGCLASSP,CA,CAROTENS,FE,FIBC,FOL,ID,K,MG,NACL,NATRIUM,NIA,NIAEQ,P,RIBF,SE,THIA,VITA,VITB12,VITC,VITD,VITE,VITK,VITPYRID,ZN
344,MUSHROOM IN VINEGAR,FOOD,CANN,100,MUSHRO,VEGTOT,4.8,0.0,2.565,2.4,18.68,2.83,323.0,8.55,2504.68,983.0,4.696,5.143,68.4,0.38,32.033,0.1,0.0,0.0,1.9,4.696,0.0,0.256,0.07,0.95
345,"CHAMPIGNON, FRESH",FOOD,RAW,100,MUSHRO,VEGTOT,1.9,0.0,0.37,1.5,35.0,1.0,364.0,10.0,8.15,3.2,5.5,6.051,98.0,0.42,11.0,0.1,0.0,0.06,1.3,0.21,0.0,0.3,0.18,0.51
346,CUCUMBER,FOOD,RAW,100,VEGFRU,VEGTOT,14.7,612.3,0.18,0.7,9.65,1.0,221.8,8.77,6.14,2.4,0.2,0.367,29.3,0.09,0.5,0.04,11.25,0.0,8.0,0.0,0.04,15.0,0.04,0.09
347,"CUCUMBER, PICKLED CUCUMBER, WITHOUT ADDED SUGAR",FOOD,CANN,100,VEGCANN,VEGTOT,15.0,551.1,0.5,1.1,8.0,1.0,140.0,9.0,1780.67,698.85,0.18,0.3,20.0,0.09,0.454,0.04,10.122,0.0,6.0,0.0,0.036,13.5,0.01,0.2
348,"PICKLED CUCUMBER, SWEET, FLAVOURED",FOOD,CANN,100,VEGCANN,VEGTOT,15.0,690.2,0.49,1.8,8.0,1.0,140.0,9.5,2318.68,910.0,0.169,0.3,19.0,0.09,0.448,0.04,14.93,0.0,8.0,0.0,0.034,12.675,0.01,0.18
350,PUMPKIN,FOOD,RAW,100,VEGFRU,VEGTOT,25.0,7260.0,0.27,2.0,22.0,1.0,243.0,11.2,5.1,2.0,0.2,0.35,19.0,0.09,0.0,0.04,367.69,0.0,8.0,0.0,1.06,1.1,0.05,0.04
351,"SALAD, PICKLED PUMPKIN",FOOD,CANN,100,VEGCANN,VEGTOT,20.0,3057.0,0.3,1.7,19.0,1.0,12.0,7.0,43.32,17.0,0.146,0.256,20.0,0.24,0.1,0.2,121.01,0.0,25.8,0.0,0.774,0.802,0.07,0.1
352,TOMATO,FOOD,RAW,100,VEGFRU,VEGTOT,8.64,4106.2,0.19,1.4,11.57,1.0,237.1,8.27,5.54,2.2,0.7,0.85,25.9,0.04,0.5,0.06,66.76,0.0,14.1,0.0,0.66,5.0,0.08,0.09
354,TOMATO PUREE,FOOD,CANN,100,VEGCANN,VEGTOT,11.3,23419.8,0.363,1.0,8.0,12.85,362.5,13.75,509.6,200.0,3.5,4.018,37.5,0.05,0.756,0.09,10.992,0.0,33.0,0.0,0.995,7.541,0.18,0.275
355,"SWEET PEPPER, AVERAGE",FOOD,RAW,100,VEGFRU,VEGTOT,8.6,5416.1,0.52,1.9,55.86,1.0,242.0,13.6,8.92,3.5,0.94,1.14,27.0,0.078,0.16,0.028,154.19,0.0,184.8,0.0,2.16,5.112,0.54,0.1
